ACADEMIC YEAR , SEM, COURSE NAME , COURSE TITLE , DEPT , INSTRUCTOR NAME, REGIST, DETAILS
2006-07 , 2 ,AE211 ,AERODYNAMICS I , AE ,S MITTAL,0
2006-07 , 1 ,AE231 ,ELEMENTS OF VIBRATION , AE ,D YADAV,0
2006-07 , 2 ,AE232 ,AIRCRAFT STRUCTURES - I , AE ,D YADAV,0
2006-07 , 2 ,AE312 ,AERODYNAMICS-II , AE ,D DAS,0
2006-07 , 3 ,AE312 ,AERODYNAMICS-II , AE ,E RATHAKRISHNAN,0
2006-07 , 1 ,AE321 ,FLIGHT MECHANICS - I , AE ,A K GHOSH,0
2006-07 , 2 ,AE322 ,FLIGHT MECHANICS-II , AE ,T G PAI,0
2006-07 , 1 ,AE331 ,EXPERIMENTS IN STRUCTURES , AE ,S KAMLE,0
2006-07 , 2 ,AE332 ,AEROSPACE STRUCTURES-II , AE ,COURSES DROP,0
2006-07 , 2 ,AE332N ,AEROSPACE STRUCTURES II , AE ,V K GUPTA,0
2006-07 , 1 ,AE341 ,PROPULSION - I , AE ,A KUSHARI,0
2006-07 , 2 ,AE342 ,PROPULSION-II , AE ,A KUSHARI,0
2006-07 , 1 ,AE361 ,AEROMODELLING DESIGN & FABRICATION , AE ,A KUSHARI,0
2006-07 , 1 ,AE411 ,EXPERIMENTS IN AERODYNAMICS , AE ,K PODDAR,0
2006-07 , 2 ,AE422 ,EXPERIMENTS IN FLIGHT MECHANICS , AE ,A TEWARI,0
2006-07 , 1 ,AE461 ,AIRCRAFT DESIGN-I , AE ,A TEWARI,0
2006-07 , 3 ,AE461 ,AIRCRAFT DESIGN-I , AE ,A K GHOSH,0
2006-07 , 2 ,AE462 ,AIRCRAFT DESIGN-II , AE ,C S UPADHYAY,0
2006-07 , 1 ,AE471 ,PROJECT-I , AE ,CONVENOR DUGC,0
2006-07 , 2 ,AE472 ,PROJECT-II , AE ,DUGC CONVENOR,0
2006-07 , 2 ,AE481 ,BOUNDARY LAYER THEORY , AE ,D DAS,0
2006-07 , 2 ,AE490 ,INDUSTRIAL TRAINING , AE ,,0
2006-07 , 1 ,AE490 ,INDUSTRIAL TRAINING , AE ,CONVENOR DUGC,0
2006-07 , 1 ,AE601 ,INTRO TO AEROSPACE ENGG. , AE ,K GHOSH,0
